teamCode,teamName,squadNumber,position,commonName,originalName,dateOfBirthIso,club,zhName,sourceId,sourceLabel,sourceDescription,searchQuery,confidence,reviewReason
ALG,Algeria,1,GK,Melvin Mastil,Melvin Feycal MASTIL,2000-02-19,FC Stade Nyonnais (SUI),,Q105846503,Melvin Mastil,法國足球運動員,Melvin Mastil,none,wikidata-match-without-zh-label
ALG,Algeria,3,DF,Achref Abada,Achref ABADA,1999-06-15,USM Alger (ALG),,Q136462891,Achref Abada,Algerian footballer (born 1999),Achref Abada,none,wikidata-match-without-zh-label
ALG,Algeria,4,DF,Mohamed Tougai,Mohamed Amine TOUGAI,2000-01-22,Espérance De Tunisie (TUN),,Q81659662,Mohamed Amine Tougai,Algerian football player,Mohamed Amine TOUGAI,none,wikidata-match-without-zh-label
ALG,Algeria,5,DF,Zineddine Belaïd,Zineddine BELAÏD,1999-03-20,JS Kabylie (ALG),,Q100273072,Zineddine Belaïd,Algerian footballer,Zineddine Belaïd,none,wikidata-match-without-zh-label
ALG,Algeria,11,FW,Anis Hadj Moussa,Anis HADJ MOUSSA,2002-02-11,Feyenoord Rotterdam (NED),,Q121946144,Anis Hadj Moussa,Algerian footballer (born 2002),Anis Hadj Moussa,none,wikidata-match-without-zh-label
ALG,Algeria,12,FW,Ahmed Benbouali,Ahmed Nadhir BENBOUALI,2000-04-17,Györi ETO FC (HUN),,,,,,none,no-wikidata-match
ALG,Algeria,13,DF,Jaouen Hadjam,Jaouen Djimmy HADJAM,2003-03-26,BSC Young Boys (SUI),,Q98561102,Jaouen Hadjam,French and Algerian footballer,Jaouen Hadjam,none,wikidata-match-without-zh-label
ALG,Algeria,16,GK,Oussama Benbot,Oussama BENBOT,1994-10-11,USM Alger (ALG),,Q84601192,Oussama Benbot,Algerian footballer,Oussama Benbot,none,wikidata-match-without-zh-label
ALG,Algeria,17,DF,Rak Belghali,Rak BELGHALI,2002-06-07,Hellas Verona FC (ITA),,,,,,none,no-wikidata-match
ALG,Algeria,20,FW,Adil Boulbina,Adil BOULBINA,2003-05-02,Al Duhail SC (QAT),,,,,,none,no-wikidata-match
ALG,Algeria,22,MF,Ibrahim Maza,Ibrahim MAZA,2005-11-24,Bayer 04 Leverkusen (GER),,Q118118504,Ibrahim Maza,德国足球运动员,Ibrahim Maza,none,wikidata-match-without-zh-label
ALG,Algeria,24,MF,Yassine Titraoui,Yassine M E G TITRAOUI,2003-07-26,Sporting Charleroi (BEL),,,,,,none,no-wikidata-match
ALG,Algeria,25,FW,Fares Ghedjemis,Fares GHEDJEMIS,2002-09-06,Frosinone (ITA),,,,,,none,no-wikidata-match
ALG,Algeria,26,DF,Samir Chergui,Samir Sophian CHERGUI,1999-02-06,Paris FC (FRA),,,,,,none,no-wikidata-match
ARG,Argentina,8,MF,Valentin Barco,Valentin BARCO,2004-07-23,RC Strasbourg (FRA),,,,,,none,no-wikidata-match
ARG,Argentina,21,FW,Jose Lopez,Jose Manuel Alberto LOPEZ,2000-12-06,SE Palmeiras (BRA),,,,,,none,no-wikidata-match
ARG,Argentina,23,GK,Damián Martínez,Damián Emiliano MARTÍNEZ,1992-09-02,Aston Villa FC (ENG),,,,,,none,no-wikidata-match
ARG,Argentina,26,DF,Nahuel Molina Lucero,Nahuel MOLINA LUCERO,1998-04-06,Atlético De Madrid (ESP),,,,,,none,no-wikidata-match
AUS,Australia,2,DF,Milos Degenek,Milos DEGENEK,1994-04-28,APOEL FC (CYP),,,,,,none,no-wikidata-match
AUS,Australia,9,FW,Mohamed Toure,Mohamed A TOURE,2004-03-26,Norwich City FC (ENG),,Q84593316,Mohamed Touré,Australian-Guinean association football player,Mohamed Toure,none,wikidata-match-without-zh-label
AUS,Australia,15,DF,Kai Trewin,Kai Clifton TREWIN,2001-05-18,New York City FC (USA),,Q87400019,Kai Trewin,Australian soccer player (born 2001),Kai Trewin,none,wikidata-match-without-zh-label
AUS,Australia,25,DF,Lucas Herrington,Lucas HERRINGTON,2007-09-05,Colorado Rapids (USA),,Q133105064,Lucas Herrington,Australian soccer player,Lucas Herrington,none,wikidata-match-without-zh-label
AUS,Australia,26,FW,Tete Yengi,Tete Owen YENGI,2000-11-28,FC Machida Zelvia (JPN),,Q104604531,Tete Yengi,Australian soccer player (born 2000),Tete Yengi,none,wikidata-match-without-zh-label
AUT,Austria,12,GK,Florian Wiegele,Florian WIEGELE,2001-03-21,FC Viktoria Plzeň (CZE),,Q123335801,Florian Wiegele,奥地利男子足球运动员,Florian Wiegele,none,wikidata-match-without-zh-label
AUT,Austria,25,DF,Michael Svoboda,Michael SVOBODA,1998-10-15,Venezia FC (ITA),,Q55813157,Michael Svoboda,奥地利男子足球运动员,Michael Svoboda,none,wikidata-match-without-zh-label
BEL,Belgium,11,FW,Jeremy Doku,Jeremy Baffour DOKU,2002-05-27,Manchester City FC (ENG),,,,,,none,no-wikidata-match
BEL,Belgium,18,DF,Joaquin Seys,Joaquin Ronny SEYS,2005-03-28,Club Brugge (BEL),,Q113510252,Joaquin Seys,比利时男子足球运动员,Joaquin Seys,none,wikidata-match-without-zh-label
BEL,Belgium,25,DF,Nathan Ngoy,Nathan NGOY,2003-06-10,Lille OSC (FRA),,,,,,none,no-wikidata-match
BIH,Bosnia And Herzegovina,1,GK,Nikola Vasilj,Nikola VASILJ,1995-12-02,FC St. Pauli (GER),,Q77243490,Nikola Vasilj,Bosnian association football player,Nikola Vasilj,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,3,DF,Dennis Hadžikadunić,Dennis HADŽIKADUNIĆ,1998-07-09,UC Sampdoria (ITA),,Q27654739,Dennis Hadžikadunić,Bosnian-Swedish association football player,Dennis Hadžikadunić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,4,DF,Tarik Muharemović,Tarik MUHAREMOVIĆ,2003-02-28,US Sassuolo (ITA),,Q106620882,Tarik Muharemović,Bosnian association football player,Tarik Muharemović,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,8,MF,Armin Gigović,Armin GIGOVIĆ,2002-04-06,BSC Young Boys (SUI),,Q70251271,Armin Gigović,Bosnian-Swedish association football player,Armin Gigović,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,9,FW,Samed Baždar,Samed BAŽDAR,2004-01-31,Jagiellonia Białystok (POL),,Q107284545,Samed Baždar,Bosnian association football player,Samed Baždar,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,12,GK,Mladen Jurkas,Mladen JURKAS,2007-10-07,FK Borac Banja Luka (BIH),,Q140007173,Mladen Jurkas,Bosnian footballer,Mladen Jurkas,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,13,MF,Ivan Bašić,Ivan BAŠIĆ,2002-04-30,FC Astana (KAZ),,Q111536418,Ivan Bašić,Bosnian-Croatian association football player,Ivan Bašić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,15,MF,Amar Memić,Amar MEMIĆ,2001-01-20,FC Viktoria Plzeň (CZE),,Q124051749,Amar Memić,Bosnian footballer (born 2001),Amar Memić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,19,FW,Kerim Alajbegović,Kerim ALAJBEGOVIĆ,2007-09-21,FC Red Bull Salzburg (AUT),,Q130741313,Kerim Alajbegović,Bosnia and Herzegovina footballer (born 2007),Kerim Alajbegović,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,20,FW,Esmir Bajraktarević,Esmir BAJRAKTAREVIĆ,2005-03-10,PSV Eindhoven (NED),,Q108518721,Esmir Bajraktarević,American-Bosnian association football player,Esmir Bajraktarević,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,21,DF,Stjepan Radeljić,Stjepan RADELJIĆ,1997-09-05,HNK Rijeka (CRO),,Q56227031,Stjepan Radeljić,Bosnian association football player (born 1997),Stjepan Radeljić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,22,GK,Martin Zlomislić,Martin ZLOMISLIĆ,1998-08-16,HNK Rijeka (CRO),,Q83795769,Martin Zlomislić,Bosnian footballer,Martin Zlomislić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,24,DF,Arjan Malić,Arjan MALIĆ,2005-08-28,SK Sturm Graz (AUT),,Q121028932,Arjan Malić,Bosnian association football player,Arjan Malić,none,wikidata-match-without-zh-label
BIH,Bosnia And Herzegovina,26,MF,Ermin Mahmić,Ermin MAHMIĆ,2005-03-14,FC Slovan Liberec (CZE),,Q123139564,Ermin Mahmić,奥地利男子足球运动员,Ermin Mahmić,none,wikidata-match-without-zh-label
BRA,Brazil,1,GK,Álisson Becker,Álisson Ramsés BECKER,1992-10-02,Liverpool FC (ENG),,,,,,none,no-wikidata-match
BRA,Brazil,2,MF,Éderson Dos Santos Lourenço Da Silva,Éderson José DOS SANTOS LOURENÇO DA SILVA,1999-07-07,Atalanta Bergamo (ITA),,,,,,none,no-wikidata-match
BRA,Brazil,3,DF,Gabriel Dos Santos Magalhães,Gabriel DOS SANTOS MAGALHÃES,1997-12-19,Arsenal FC (ENG),,,,,,none,no-wikidata-match
BRA,Brazil,15,DF,Leonardo Pereira,Leonardo PEREIRA,1996-01-31,CR Flamengo (BRA),,Q18199184,Léo Pereira,巴西的足球運動員,Léo Pereira,none,wikidata-match-without-zh-label
BRA,Brazil,18,MF,Danilo Dos Santos De Oliveira,Danilo DOS SANTOS DE OLIVEIRA,2001-04-29,Botafogo (BRA),,,,,,none,no-wikidata-match
BRA,Brazil,26,FW,Rayan Simplicio Rocha,Rayan Vitor SIMPLICIO ROCHA,2006-08-03,AFC Bournemouth (ENG),,Q115937989,Rayan,巴西男子足球运动员,Rayan,none,wikidata-match-without-zh-label
CPV,Cabo Verde,3,DF,Edilson Monteiro Sanches Borges,Edilson Alberto MONTEIRO SANCHES BORGES,1995-01-17,Al Bataeh Club (UAE),,,,,,none,no-wikidata-match
CPV,Cabo Verde,4,DF,Roberto Lopes,Roberto Carlos LOPES,1992-06-17,Shamrock Rovers FC (IRL),,Q85797565,Roberto Lopes,Irish-Cape Verdean footballer,Roberto Lopes,none,wikidata-match-without-zh-label
CPV,Cabo Verde,5,DF,Logan Costa,Logan Evans COSTA,2001-04-01,Villarreal CF (ESP),,Q110184199,Logan Costa,Cape Verdean association football player (born 2001),Logan Costa,none,wikidata-match-without-zh-label
CPV,Cabo Verde,6,MF,Kevin Gonçalves Pereira De Pina,Kevin Lenini GONÇALVES PEREIRA DE PINA,1997-01-27,FC Krasnodar (RUS),,,,,,none,no-wikidata-match
CPV,Cabo Verde,7,MF,Jovane Borges Cabral,Jovane Eduardo BORGES CABRAL,1998-06-14,CF Estrela Da Amadora (POR),,,,,,none,no-wikidata-match
CPV,Cabo Verde,8,MF,João Moreira Fernandes,João Paulo MOREIRA FERNANDES,1998-05-26,FC FCSB (ROU),,Q107334828,João Paulo Fernandes,Cape Verdean footballer,João Paulo,none,wikidata-match-without-zh-label
CPV,Cabo Verde,9,FW,Gilson Benchimol Tavares,Gilson BENCHIMOL TAVARES,2001-12-29,FC Akron Tolyatti (RUS),,Q105939150,Gilson Benchimol,Cape Verdean association football player,Gilson Benchimol,none,wikidata-match-without-zh-label
CPV,Cabo Verde,10,MF,Jamiro Monteiro Alvarenga,Jamiro Gregory MONTEIRO ALVARENGA,1993-11-23,PEC Zwolle (NED),,Q23541080,Jamiro Monteiro,Cape Verdean footballer,Jamiro Monteiro,none,wikidata-match-without-zh-label
CPV,Cabo Verde,12,GK,Márcio Brazão Da Rosa,Márcio Salomão BRAZÃO DA ROSA,1997-02-23,PFC Montana (BUL),,,,,,none,no-wikidata-match
CPV,Cabo Verde,13,DF,Sidny Lopes Cabral,Sidny LOPES CABRAL,2002-09-18,SL Benca (POR),,Q124382289,Sidny Lopes Cabral,Cape Verdean footballer (born 2002),Sidny Lopes Cabral,none,wikidata-match-without-zh-label
CPV,Cabo Verde,14,MF,Deroy D'encarnação Duarte,Deroy D'ENCARNAÇÃO DUARTE,1999-07-04,PFC Ludogorets Razgrad (BUL),,,,,,none,no-wikidata-match
CPV,Cabo Verde,15,MF,Laros D'encarnação Duarte,Laros Michael D'ENCARNAÇÃO DUARTE,1997-02-28,Puskás Akadémia FC (HUN),,,,,,none,no-wikidata-match
CPV,Cabo Verde,16,MF,Jair Semedo Monteiro,Jair SEMEDO MONTEIRO,1995-12-29,SC Farense (POR),,,,,,none,no-wikidata-match
CPV,Cabo Verde,17,MF,Willy Semedo Afonso,Willy Johnson SEMEDO AFONSO,1994-04-27,AC Omonia (CYP),,Q44821118,Willy Semedo,French and Cape Verdean association football player,Willy Semedo,none,wikidata-match-without-zh-label
CPV,Cabo Verde,18,MF,Telmo Gomes Arcanjo,Telmo Emanuel GOMES ARCANJO,2001-06-21,Vitória SC (POR),,Q97580948,Telmo Arcanjo,葡萄牙男子足球运动员,Telmo Arcanjo,none,wikidata-match-without-zh-label
CPV,Cabo Verde,19,FW,Dailon Rocha Livramento,Dailon ROCHA LIVRAMENTO,2001-05-04,Casa Pia AC (POR),,Q110943455,Dailon Livramento,Cape Verdean footballer,Dailon Livramento,none,wikidata-match-without-zh-label
CPV,Cabo Verde,20,FW,Ryan Da Graca Mendes,Ryan Isaac DA GRACA MENDES,1990-01-08,Iğdır FK (TUR),,,,,,none,no-wikidata-match
CPV,Cabo Verde,22,DF,Steven Moreira,Steven MOREIRA,1994-08-13,Columbus Crew (USA),,Q14371131,Steven Moreira,Cape Verdean and French footballer,Steven Moreira,none,wikidata-match-without-zh-label
CPV,Cabo Verde,23,GK,Carlos Antunes Dos Santos,Carlos Joaquim ANTUNES DOS SANTOS,2000-08-24,San Diego FC (USA),,,,,,none,no-wikidata-match
CPV,Cabo Verde,24,DF,Wagner Cardoso De Pina,Wagner Fabricio CARDOSO DE PINA,2002-11-03,Trabzonspor (TUR),,,,,,none,no-wikidata-match
CPV,Cabo Verde,25,DF,Kelvin Spencer Pires,Kelvin SPENCER PIRES,2000-06-05,SJK (FIN),,,,,,none,no-wikidata-match
CPV,Cabo Verde,26,MF,Hélio Oliveira Alves Varela,Hélio Sandro OLIVEIRA ALVES VARELA,2002-05-03,Maccabi Tel-Aviv FC (ISR),,,,,,none,no-wikidata-match
CAN,Canada,3,DF,Ale Jones,Ale Charles JONES,1997-10-07,Middlesbrough FC (ENG),,Q97766936,Jones,英国女子足球运动员,Jones,none,wikidata-match-without-zh-label
CAN,Canada,4,DF,Luc Rollet De Fougerolles,Luc ROLLET DE FOUGEROLLES,2005-10-12,FCV Dender EH (BEL),,,,,,none,no-wikidata-match
CAN,Canada,7,MF,Stephen Eustaquio,Stephen EUSTAQUIO,1996-12-21,LAFC (USA),,,,,,none,no-wikidata-match
CAN,Canada,8,MF,Ismaël Kone,Ismaël Kenneth Jordan KONE,2002-06-16,US Sassuolo (ITA),,,,,,none,no-wikidata-match
CAN,Canada,18,GK,Owen Goodman,Owen Olamidayo GOODMAN,2003-11-27,Barnsley (ENG),,Q119079226,Owen Goodman,Canadian soccer player,Owen Goodman,none,wikidata-match-without-zh-label
CAN,Canada,25,MF,Nathan-Dylan Saliba,Nathan-Dylan SALIBA,2004-02-07,RSC Anderlecht (BEL),,,,,,none,no-wikidata-match
COL,Colombia,5,MF,Kevin Castaño Gil,Kevin Duvan CASTAÑO GIL,2000-09-29,CA River Plate (ARG),,Q117289166,Kevin Castaño,哥伦比亚男子足球运动员,Kevin Castaño Gil,none,wikidata-match-without-zh-label
COL,Colombia,6,MF,Richard Ríos Montoya,Richard RÍOS MONTOYA,2000-06-02,SL Benca (POR),,Q117322318,Richard Ríos,哥伦比亚男子足球运动员,Richard Ríos Montoya,none,wikidata-match-without-zh-label
COL,Colombia,7,FW,Luis Díaz Marulanda,Luis Fernando DÍAZ MARULANDA,1997-01-13,FC Bayern München (GER),,,,,,none,no-wikidata-match
COL,Colombia,8,MF,Jorge Carrascal Guardo,Jorge Andres CARRASCAL GUARDO,1998-05-25,CR Flamengo (BRA),,Q19362872,Jorge Carrascal,哥伦比亚男子足球运动员,Jorge Carrascal,none,wikidata-match-without-zh-label
COL,Colombia,15,MF,Juan Portilla Orozco,Juan Camilo PORTILLA OROZCO,1998-09-12,Athletico Paranaense (BRA),,Q118593930,Juan Portilla,Colombian footballer,Juan Portilla,none,wikidata-match-without-zh-label
COL,Colombia,18,DF,Willer Ditta Perez,Willer Emilio DITTA PEREZ,1998-01-23,CF Cruz Azul (MEX),,,,,,none,no-wikidata-match
COL,Colombia,19,FW,Juan Hernandez Suarez,Juan Camilo HERNANDEZ SUAREZ,1999-04-20,Real Betis (ESP),,,,,,none,no-wikidata-match
COL,Colombia,22,DF,Deiver Machado Mena,Deiver MACHADO MENA,1993-09-02,FC Nantes (FRA),,,,,,none,no-wikidata-match
COL,Colombia,23,DF,Davinson Sánchez Mina,Davinson SÁNCHEZ MINA,1996-06-12,Galatasaray SK (TUR),,,,,,none,no-wikidata-match
COL,Colombia,25,FW,Luis Suárez Charris,Luis Javier SUÁREZ CHARRIS,1997-12-02,Sporting CP (POR),,,,,,none,no-wikidata-match
COL,Colombia,26,FW,Carlos Gómez Hinestroza,Carlos Andrés GÓMEZ HINESTROZA,2002-09-12,CR Vasco Da Gama (BRA),,,,,,none,no-wikidata-match
COD,Congo DR,1,GK,Lionel Mpasi,Lionel Nzau MPASI,1994-08-01,Le Havre AC (FRA),,,,,,none,no-wikidata-match
COD,Congo DR,2,DF,Wan Bissaka,Wan BISSAKA,1997-11-26,West Ham United FC (ENG),,,,,,none,no-wikidata-match
COD,Congo DR,3,DF,Steve Kapuadi,Steve Nkanu KAPUADI,1998-04-30,Widzew Łódź (POL),,,,,,none,no-wikidata-match
COD,Congo DR,4,DF,Axel Tuanzebe,Axel TUANZEBE,1997-11-14,Burnley FC (ENG),,,,,,none,no-wikidata-match
COD,Congo DR,5,DF,Dylan Batubinsika,Dylan Buduka BATUBINSIKA,1996-02-15,AEL FC (GRE),,,,,,none,no-wikidata-match
COD,Congo DR,6,MF,Ngal’ayel Mukau,Ngal’ayel MUKAU,2004-11-03,Lille OSC (FRA),,,,,,none,no-wikidata-match
COD,Congo DR,7,MF,Nathanaël Mbuku,Nathanaël MBUKU,2002-03-16,Montpellier HSC (FRA),,,,,,none,no-wikidata-match
COD,Congo DR,8,MF,Samuel Moutoussamy,Samuel Alain MOUTOUSSAMY,1996-08-12,Atromitos FC (GRE),,,,,,none,no-wikidata-match
COD,Congo DR,9,FW,Kibambe Cipenga,Kibambe Brian CIPENGA,1998-03-11,CD Castellón (ESP),,,,,,none,no-wikidata-match
COD,Congo DR,10,MF,Theo Bongonda,Theo Mbulofeko Batombo BONGONDA,1995-11-20,FC Spartak Moscow (RUS),,,,,,none,no-wikidata-match
COD,Congo DR,11,FW,Mambenga Kakuta,Mambenga Gaël Roméo KAKUTA,1991-06-21,AEL FC (GRE),,,,,,none,no-wikidata-match
COD,Congo DR,12,DF,Joris Kayembe-Ditu,Joris KAYEMBE-DITU,1994-08-08,KRC Genk (BEL),,,,,,none,no-wikidata-match
COD,Congo DR,13,FW,Meschack Elia,Meschack Lina ELIA,1997-08-06,Alanyaspor (TUR),,,,,,none,no-wikidata-match
COD,Congo DR,14,MF,Noah Sadiki,Noah Junior SADIKI,2004-12-17,Sunderland AFC (ENG),,,,,,none,no-wikidata-match
COD,Congo DR,15,MF,Tshibola Aaron,Tshibola AARON,1995-01-02,Kilmarnock FC (SCO),,,,,,none,no-wikidata-match
COD,Congo DR,16,GK,Timothy Fayulu,Timothy Bruce Munzoko FAYULU,1999-07-24,FC Noah (ARM),,,,,,none,no-wikidata-match
COD,Congo DR,17,FW,Cedric Bakambu,Cedric BAKAMBU,1991-04-11,Real Betis (ESP),,,,,,none,no-wikidata-match
COD,Congo DR,18,MF,Charles Pickel,Charles Monginda PICKEL,1997-05-15,RCD Espanyol (ESP),,,,,,none,no-wikidata-match
COD,Congo DR,19,FW,Mayele Kalala,Mayele Fiston KALALA,1994-06-24,Pyramids FC (EGY),,Q117287348,Fiston Mayele,Congolese association football player,Fiston Mayele,none,wikidata-match-without-zh-label
COD,Congo DR,21,GK,Matthieu Epolo,Matthieu Luka EPOLO,2005-01-15,Standard Liège (BEL),,Q113628776,Matthieu Epolo,比利时男子足球运动员,Matthieu Epolo,none,wikidata-match-without-zh-label
CIV,Côte D'Ivoire,8,MF,Franck Kessie,Franck Yannick KESSIE,1996-12-19,Al Ahli FC (KSA),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,13,DF,Christopher Operi,Christopher Tea Domoraud OPERI,1997-04-29,Başakşehir FK (TUR),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,14,FW,Oumar Diakite,Oumar DIAKITE,2003-12-20,Cercle Brugge (BEL),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,15,FW,Amad Diallo,Amad DIALLO,2002-07-11,Manchester United FC (ENG),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,16,GK,Mohamed Kone,Mohamed KONE,2002-03-07,Sporting Charleroi (BEL),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,17,DF,Guela Doue,Guela Maho-Lewis DOUE,2002-10-17,RC Strasbourg (FRA),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,18,MF,Ibrahim Sangare,Ibrahim SANGARE,1997-12-02,Nottingham Forest FC (ENG),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,19,FW,Nicolas Pepe,Nicolas PEPE,1995-05-29,Villarreal CF (ESP),,Q10348420,Pepe,Fictional association football player,Pepe,none,wikidata-match-without-zh-label
CIV,Côte D'Ivoire,24,FW,Bazoumana Toure,Bazoumana TOURE,2006-03-02,TSG Hoffenheim (GER),,,,,,none,no-wikidata-match
CIV,Côte D'Ivoire,25,MF,Parfait Guiagon,Parfait GUIAGON,2001-02-22,Sporting Charleroi (BEL),,Q97577478,Parfait Guiagon,Ivorian footballer,Parfait Guiagon,none,wikidata-match-without-zh-label
CIV,Côte D'Ivoire,26,MF,Christ Oulai,Christ Ravynel Inao OULAI,2006-04-06,Trabzonspor (TUR),,,,,,none,no-wikidata-match
CUW,Curaçao,3,DF,Juriën Gaari,Juriën Godfried Juan GAARI,1993-12-23,Abha Club (KSA),,Q32666318,Juriën Gaari,Curaçaoan association football player,Juriën Gaari,none,wikidata-match-without-zh-label
CUW,Curaçao,4,DF,Róshón Van Eijma,Róshón Felix Romar Jordan VAN EIJMA,1998-06-09,RKC Waalwijk (NED),,,,,,none,no-wikidata-match
CUW,Curaçao,5,DF,Sherel Floranus,Sherel Constancio FLORANUS,1998-08-23,PEC Zwolle (NED),,Q20972384,Sherel Floranus,Curaçaoan footballer,Sherel Floranus,none,wikidata-match-without-zh-label
CUW,Curaçao,6,MF,Godfried Roemeratoe,Godfried ROEMERATOE,1999-08-19,RKC Waalwijk (NED),,Q60047739,Godfried Roemeratoe,Curaçaoan footballer,Godfried Roemeratoe,none,wikidata-match-without-zh-label
CUW,Curaçao,8,MF,Livano Comenencia,Livano Shyron Liomar COMENENCIA,2004-02-03,FC Zürich (SUI),,Q108800542,Livano Comenencia,Curaçaoan footballer,Livano Comenencia,none,wikidata-match-without-zh-label
CUW,Curaçao,11,FW,Jeremy Antonisse,Jeremy Cornelis Jacobus ANTONISSE,2002-03-29,AE Kisia FC (GRE),,Q104531012,Jeremy Antonisse,Curaçaoan footballer,Jeremy Antonisse,none,wikidata-match-without-zh-label
CUW,Curaçao,12,FW,Misjonne Hansen,Misjonne Juniffer Naigelino HANSEN,2002-05-18,Middlesbrough FC (ENG),,,,,,none,no-wikidata-match
CUW,Curaçao,13,FW,Tyrese Noslin,Tyrese Yurvencey NOSLIN,2002-09-11,SC Telstar (NED),,,,,,none,no-wikidata-match
CUW,Curaçao,14,FW,Kenji Gorré,Kenji Joël GORRÉ,1994-09-29,Maccabi Haifa FC (ISR),,,,,,none,no-wikidata-match
CUW,Curaçao,15,MF,Ar'jany Martha,Ar'jany Jainel Archenir MARTHA,2003-09-04,Rotherham United FC (ENG),,,,,,none,no-wikidata-match
CUW,Curaçao,16,FW,Jearl Margaritha,Jearl Erwin MARGARITHA,2000-04-10,SK Beveren (BEL),,,,,,none,no-wikidata-match
CUW,Curaçao,17,FW,Brandley Kuwas,Brandley Mack-Olien KUWAS,1992-09-19,FC Volendam (NED),,,,,,none,no-wikidata-match
CUW,Curaçao,18,DF,Armando Obispo,Armando Maria OBISPO,1999-03-05,PSV Eindhoven (NED),,,,,,none,no-wikidata-match
CUW,Curaçao,19,FW,Gervane Kastaneer,Gervane Zjandric Adonnis KASTANEER,1996-06-09,Terengganu FC (MAS),,,,,,none,no-wikidata-match
CUW,Curaçao,20,DF,Joshua Brenet,Joshua Benjamin BRENET,1994-03-20,Kayserispor (TUR),,,,,,none,no-wikidata-match
CUW,Curaçao,21,MF,Tahith Chong,Tahith Jose Girigorio Djorkaef CHONG,1999-12-04,Sheeld United FC (ENG),,,,,,none,no-wikidata-match
CUW,Curaçao,22,MF,Kevin Felida,Kevin Antonio FELIDA,1999-11-11,FC Den Bosch (NED),,,,,,none,no-wikidata-match
CUW,Curaçao,23,DF,Riechedly Bazoer,Riechedly Guillermo BAZOER,1996-10-12,Konyaspor (TUR),,,,,,none,no-wikidata-match
CUW,Curaçao,24,DF,Deveron Fonville,Deveron Lenny FONVILLE,2003-05-16,NEC Nijmegen (NED),,,,,,none,no-wikidata-match
