teamCode,teamName,squadNumber,position,commonName,originalName,dateOfBirthIso,club,zhName,sourceId,sourceLabel,sourceDescription,searchQuery,confidence,reviewReason
JOR,Jordan,10,FW,Mousa Suleiman,Mousa Mohammad Mousa SULEIMAN,1997-06-10,Stade Rennais FC (FRA),,,,,,none,no-wikidata-match
JOR,Jordan,11,FW,Odeh Fakhoury,Odeh Burhan Shehadeh FAKHOURY,2005-11-22,Pyramids FC (EGY),,,,,,none,no-wikidata-match
JOR,Jordan,12,GK,Noureddin Bani Ateyah,Noureddin Zaid Khaleel BANI ATEYAH,1993-01-25,Al Faisaly SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,13,FW,Mahmoud Almardi,Mahmoud Nayef Ahmad ALMARDI,1993-10-06,Al Hussein SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,14,MF,Raja'ei Hasan,Raja'ei Ayed Fadel HASAN,1993-07-25,Al Hussein SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,15,MF,Ibrahim Sa'deh,Ibrahim Mohammad Sami SA'DEH,2000-04-27,Al Karma SC (IRQ),,,,,,none,no-wikidata-match
JOR,Jordan,16,DF,Mohammad Abualnadi,Mohammad Majed Jamil ABUALNADI,2001-02-08,Selangor FC (MAS),,,,,,none,no-wikidata-match
JOR,Jordan,17,DF,Saleem Obaid,Saleem Amer Saleem OBAID,1992-01-17,Al Hussein SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,18,MF,Mohammad Taha,Mohammad Ahmed Mohammad TAHA,2005-07-13,Al Hussein SC (JOR),,Q135287344,Mohammad Taha,Jordanian footballer,Mohammad Taha,none,wikidata-match-without-zh-label
JOR,Jordan,19,DF,Sa'ed Alrosan,Sa'ed Ahmad Salameh ALROSAN,1997-02-01,Al Hussein SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,20,MF,Mohannad Abu Taha,Mohannad Mahmoud Saleh ABU TAHA,2003-02-02,Al-Quwa Al-Jawiya (IRQ),,Q124397380,Mohannad Abu Taha,Jordanian footballer,Mohannad Abu Taha,none,wikidata-match-without-zh-label
JOR,Jordan,21,MF,Nizar Al-Rashdan,Nizar Mahmoud Ahmed AL-RASHDAN,1999-03-23,Qatar SC (QAT),,Q124302622,Nizar Al-Rashdan,Jordanian professional footballer,Nizar Al-Rashdan,none,wikidata-match-without-zh-label
JOR,Jordan,22,GK,Abdallah Alfakhori,Abdallah Ra'ed Mahmoud ALFAKHORI,2000-01-22,Al Wahdat SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,23,DF,Ehsan Haddad,Ehsan Manel Farhan HADDAD,1994-02-05,Al Hussein SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,24,FW,Ali Azaizeh,Ali Ahmad Ali AZAIZEH,2004-04-13,Al Shabab FC (KSA),,,,,,none,no-wikidata-match
JOR,Jordan,25,MF,Mohammad Aldaoud,Mohammad Ratib Mohammad ALDAOUD,1992-04-12,Al Wahdat SC (JOR),,,,,,none,no-wikidata-match
JOR,Jordan,26,DF,Anas Badawi,Anas Said Ghazi BADAWI,1997-09-13,Al Faisaly SC (JOR),,Q135971385,Anas Badawi,Jordanian footballer,Anas Badawi,none,wikidata-match-without-zh-label
KOR,Korea Republic,1,GK,Seunggyu Kim,Seunggyu KIM,1990-09-30,FC Tokyo (JPN),,,,,,none,no-wikidata-match
KOR,Korea Republic,2,DF,Hanbeom Lee,Hanbeom LEE,2002-06-17,FC Midtjylland (DEN),,,,,,none,no-wikidata-match
KOR,Korea Republic,3,MF,Gihyuk Lee,Gihyuk LEE,2000-07-07,Gangwon FC (KOR),,,,,,none,no-wikidata-match
KOR,Korea Republic,4,DF,Minjae Kim,Minjae KIM,1996-11-15,FC Bayern München (GER),,,,,,none,no-wikidata-match
KOR,Korea Republic,5,DF,Taehyeon Kim,Taehyeon KIM,2000-09-17,Kashima Antlers (JPN),,,,,,none,no-wikidata-match
KOR,Korea Republic,6,MF,Inbeom Hwang,Inbeom HWANG,1996-09-20,Feyenoord Rotterdam (NED),,,,,,none,no-wikidata-match
KOR,Korea Republic,8,MF,Seungho Paik,Seungho PAIK,1997-03-17,Birmingham City FC (ENG),,,,,,none,no-wikidata-match
KOR,Korea Republic,9,FW,Guesung Cho,Guesung CHO,1998-01-25,FC Midtjylland (DEN),,,,,,none,no-wikidata-match
KOR,Korea Republic,12,GK,Bumkeun Song,Bumkeun SONG,1997-10-15,Jeonbuk Hyundai Motors FC (KOR),,,,,,none,no-wikidata-match
KOR,Korea Republic,13,DF,Taeseok Lee,Taeseok LEE,2002-07-28,FK Austria Wien (AUT),,,,,,none,no-wikidata-match
KOR,Korea Republic,14,DF,Wije Cho,Wije CHO,2001-08-25,Jeonbuk Hyundai Motors FC (KOR),,,,,,none,no-wikidata-match
KOR,Korea Republic,15,DF,Moonhwan Kim,Moonhwan KIM,1995-08-01,Daejeon Hana Citizen FC (KOR),,,,,,none,no-wikidata-match
KOR,Korea Republic,16,DF,Jinseob Park,Jinseob PARK,1995-10-23,Zhejiang FC (CHN),,,,,,none,no-wikidata-match
KOR,Korea Republic,17,MF,Junho Bae,Junho BAE,2003-08-21,Stoke City FC (ENG),,,,,,none,no-wikidata-match
KOR,Korea Republic,18,FW,Hyeongyu Oh,Hyeongyu OH,2001-04-12,Beşiktaş JK (TUR),,,,,,none,no-wikidata-match
KOR,Korea Republic,19,MF,Kangin Lee,Kangin LEE,2001-02-19,Paris Saint-Germain (FRA),,,,,,none,no-wikidata-match
KOR,Korea Republic,20,MF,Hyunjun Yang,Hyunjun YANG,2002-05-25,Celtic FC (SCO),,,,,,none,no-wikidata-match
KOR,Korea Republic,21,GK,Hyeonwoo Jo,Hyeonwoo JO,1991-09-25,Ulsan HD (KOR),,,,,,none,no-wikidata-match
KOR,Korea Republic,22,DF,Youngwoo Seol,Youngwoo SEOL,1998-12-05,FK Crvena Zvezda (SRB),,,,,,none,no-wikidata-match
KOR,Korea Republic,24,MF,Jingyu Kim,Jingyu KIM,1997-02-24,Jeonbuk Hyundai Motors FC (KOR),,,,,,none,no-wikidata-match
KOR,Korea Republic,25,MF,Jisung Eom,Jisung EOM,2002-05-09,Swansea City AFC (WAL),,,,,,none,no-wikidata-match
KOR,Korea Republic,26,MF,Donggyeong Lee,Donggyeong LEE,1997-09-20,Ulsan HD (KOR),,,,,,none,no-wikidata-match
MEX,Mexico,1,GK,José Rangel Aguilar,José Raúl RANGEL AGUILAR,2000-02-25,CD Guadalajara (MEX),,,,,,none,no-wikidata-match
MEX,Mexico,3,DF,César Montes Castro,César Jasib MONTES CASTRO,1997-02-24,FC Lokomotiv Moscow (RUS),,,,,,none,no-wikidata-match
MEX,Mexico,4,DF,Edson Álvarez Velázquez,Edson Omar ÁLVAREZ VELÁZQUEZ,1997-10-24,Fenerbahçe SK (TUR),,,,,,none,no-wikidata-match
MEX,Mexico,5,DF,Johan Vásquez Ibarra,Johan Felipe VÁSQUEZ IBARRA,1998-10-22,Genoa CFC (ITA),,,,,,none,no-wikidata-match
MEX,Mexico,6,MF,Erik Lira Méndez,Erik Antonio LIRA MÉNDEZ,2000-05-08,CF Cruz Azul (MEX),,Q98593181,Erik Lira,墨西哥足球運動員,Erik Lira,none,wikidata-match-without-zh-label
MEX,Mexico,8,MF,Álvaro Fidalgo Fernández,Álvaro FIDALGO FERNÁNDEZ,1997-04-09,Real Betis (ESP),,Q98092491,Álvaro Fidalgo,西班牙足球运动员,Álvaro Fidalgo,none,wikidata-match-without-zh-label
MEX,Mexico,9,FW,Raúl Jiménez Rodríguez,Raúl Alonso JIMÉNEZ RODRÍGUEZ,1991-05-05,Fulham FC (ENG),,,,,,none,no-wikidata-match
MEX,Mexico,11,FW,Santiago Gimenez,Santiago Tomás GIMENEZ,2001-04-18,AC Milan (ITA),,,,,,none,no-wikidata-match
MEX,Mexico,14,FW,Armando González Alba,Armando GONZÁLEZ ALBA,2003-04-20,CD Guadalajara (MEX),,,,,,none,no-wikidata-match
MEX,Mexico,16,FW,Julián Quiñones Quiñones,Julián Andrés QUIÑONES QUIÑONES,1997-03-24,Al Qadsiah FC (KSA),,,,,,none,no-wikidata-match
MEX,Mexico,17,MF,Orbelín Pineda Alvarado,Orbelín PINEDA ALVARADO,1996-03-24,AEK Athens (GRE),,,,,,none,no-wikidata-match
MEX,Mexico,19,MF,Gilberto Mora Zambrano,Gilberto Rafael MORA ZAMBRANO,2008-10-14,Club Tijuana (MEX),,Q129652337,Gilberto Mora,墨西哥男子足球运动员,Gilberto Mora,none,wikidata-match-without-zh-label
MEX,Mexico,20,DF,Mateo Chávez García,Mateo CHÁVEZ GARCÍA,2004-05-12,AZ Alkmaar (NED),,,,,,none,no-wikidata-match
MEX,Mexico,21,FW,César Huerta Valera,César Saúl HUERTA VALERA,2000-12-03,RSC Anderlecht (BEL),,,,,,none,no-wikidata-match
MEX,Mexico,22,FW,Guillermo Martínez Ayala,Guillermo MARTÍNEZ AYALA,1995-03-15,Pumas UNAM (MEX),,Q19158746,Guillermo Martínez Ayala,墨西哥足球運動員,Guillermo Martínez Ayala,none,wikidata-match-without-zh-label
MEX,Mexico,23,DF,Jesús Gallardo Vasconcelos,Jesús Daniel GALLARDO VASCONCELOS,1994-08-15,Deportivo Toluca FC (MEX),,,,,,none,no-wikidata-match
MEX,Mexico,24,MF,Luis Chávez Magallón,Luis Gerardo CHÁVEZ MAGALLÓN,1996-01-15,FC Dynamo Moscow (RUS),,,,,,none,no-wikidata-match
MEX,Mexico,26,MF,Brian Gutiérrez,Brian GUTIÉRREZ,2003-06-17,CD Guadalajara (MEX),,Q98536293,Brian Gutiérrez,美國足球運動員,Brian Gutiérrez,none,wikidata-match-without-zh-label
MAR,Morocco,5,DF,Marwane Saadane,Marwane SAADANE,1992-01-17,Al Fateh SC (KSA),,,,,,none,no-wikidata-match
MAR,Morocco,9,FW,Souane Rahimi,Souane RAHIMI,1996-06-02,Al Ain FC (UAE),,,,,,none,no-wikidata-match
MAR,Morocco,10,FW,Brahim Abdelkader Diaz,Brahim ABDELKADER DIAZ,1999-08-03,Real Madrid C. F. (ESP),,,,,,none,no-wikidata-match
MAR,Morocco,12,GK,Monir El Kajoui,Monir EL KAJOUI,1989-05-10,RS Berkane (MAR),,,,,,none,no-wikidata-match
MAR,Morocco,15,MF,Samir El Mourabet,Samir EL MOURABET,2005-10-06,RC Strasbourg (FRA),,Q135616172,Samir El Mourabet,Moroccan association football player,Samir El Mourabet,none,wikidata-match-without-zh-label
MAR,Morocco,17,FW,Mohamed Sbai,Mohamed Amine SBAI,2000-11-05,Angers SCO (FRA),,,,,,none,no-wikidata-match
MAR,Morocco,19,DF,Youssef Belammari,Youssef BELAMMARI,1998-09-20,Al Ahly FC (EGY),,Q110964329,Youssef Belammari,Moroccan footballer,Youssef Belammari,none,wikidata-match-without-zh-label
MAR,Morocco,21,FW,Ayoube Amaimouni,Ayoube AMAIMOUNI,2004-11-30,Eintracht Frankfurt (GER),,Q137705019,Ayoube Amaimouni,Moroccan footballer,Ayoube Amaimouni,none,wikidata-match-without-zh-label
MAR,Morocco,22,GK,Ahmed Tagnaouti,Ahmed Reda TAGNAOUTI,1996-04-05,ASFAR (MAR),,,,,,none,no-wikidata-match
MAR,Morocco,25,DF,Redouane Halhal,Redouane HALHAL,2003-03-05,KV Mechelen (BEL),,Q120389429,Redouane Halhal,Moroccan and French footballer,Redouane Halhal,none,wikidata-match-without-zh-label
MAR,Morocco,26,DF,Anass Salah Eddine,Anass SALAH EDDINE,2002-01-18,PSV Eindhoven (NED),,,,,,none,no-wikidata-match
NED,Netherlands,3,MF,Marten De Roon,Marten Elco DE ROON,1991-03-29,Atalanta Bergamo (ITA),,,,,,none,no-wikidata-match
NED,Netherlands,4,DF,Virgil Van Dijk,Virgil VAN DIJK,1991-07-08,Liverpool FC (ENG),,,,,,none,no-wikidata-match
NED,Netherlands,5,DF,Nathan Ake,Nathan Benjamin AKE,1995-02-18,Manchester City FC (ENG),,,,,,none,no-wikidata-match
NED,Netherlands,6,DF,Jan-Paul Van Hecke,Jan-Paul VAN HECKE,2000-06-08,Brighton & Hove Albion FC (ENG),,,,,,none,no-wikidata-match
NED,Netherlands,15,DF,Micky Van De Ven,Micky VAN DE VEN,2001-04-19,Tottenham Hotspur FC (ENG),,,,,,none,no-wikidata-match
NED,Netherlands,21,MF,Frenkie De Jong,Frenkie DE JONG,1997-05-12,FC Barcelona (ESP),,,,,,none,no-wikidata-match
NZL,New Zealand,3,DF,Francis De Vries,Francis DE VRIES,1994-11-28,Auckland FC (NZL),,,,,,none,no-wikidata-match
NZL,New Zealand,7,FW,Logan Rogerson,Logan Tipene ROGERSON,1998-05-28,Auckland FC (NZL),,Q20963029,Logan Rogerson,New Zealand footballer,Logan Rogerson,none,wikidata-match-without-zh-label
NZL,New Zealand,15,DF,Nando Pijnaker,Nando Zen PIJNAKER,1999-02-25,Auckland FC (NZL),,Q64031855,Nando Pijnaker,New Zealand association football player,Nando Pijnaker,none,wikidata-match-without-zh-label
NZL,New Zealand,20,MF,Callum Mccowatt,Callum William MCCOWATT,1999-04-30,Silkeborg IF (DEN),,,,,,none,no-wikidata-match
NZL,New Zealand,21,FW,Jesse Randall,Jesse Carmichael RANDALL,2002-08-19,Auckland FC (NZL),,Q118287620,Jesse Randall,New Zealand footballer (born 2002),Jesse Randall,none,wikidata-match-without-zh-label
NZL,New Zealand,25,MF,Lachlan Bayliss,Lachlan Ryan BAYLISS,2002-07-24,Newcastle United Jets FC (AUS),,Q123571870,Lachlan Bayliss,Australian association footballer,Lachlan Bayliss,none,wikidata-match-without-zh-label
NOR,Norway,5,DF,David Wolfe,David Møller WOLFE,2002-04-23,Wolverhampton Wanderers FC (ENG),,,,,,none,no-wikidata-match
NOR,Norway,10,MF,Martín Ødegaard,Martín ØDEGAARD,1998-12-17,Arsenal FC (ENG),,,,,,none,no-wikidata-match
NOR,Norway,11,FW,Jørgen Larsen,Jørgen Strand LARSEN,2000-02-06,Crystal Palace FC (ENG),,,,,,none,no-wikidata-match
NOR,Norway,12,GK,Sander Tangvik,Sander TANGVIK,2002-11-29,Hamburger SV (GER),,Q105754161,Sander Tangvik,挪威足球運動員,Sander Tangvik,none,wikidata-match-without-zh-label
NOR,Norway,13,GK,Egil Selvik,Egil SELVIK,1997-07-30,Watford FC (ENG),,Q62617279,Egil Selvik,挪威足球運動員,Egil Selvik,none,wikidata-match-without-zh-label
NOR,Norway,15,DF,Fredrik Bjørkan,Fredrik André BJØRKAN,1998-08-21,FK Bodø/Glimt (NOR),,,,,,none,no-wikidata-match
NOR,Norway,16,DF,Marcus Pedersen,Marcus Holmgren PEDERSEN,2000-07-16,Torino FC (ITA),,,,,,none,no-wikidata-match
NOR,Norway,23,MF,Jens Hauge,Jens Petter HAUGE,1999-10-12,FK Bodø/Glimt (NOR),,,,,,none,no-wikidata-match
PAN,Panama,1,GK,Luis Mejía Cajar,Luis Ricardo MEJÍA CAJAR,1991-03-16,Club Nacional (URU),,,,,,none,no-wikidata-match
PAN,Panama,2,DF,Cesar Blackman Camarena,Cesar Rodolfo BLACKMAN CAMARENA,1998-04-02,ŠK Slovan Bratislava (SVK),,Q51331558,Cesar Blackman,association football player,Cesar Blackman,none,wikidata-match-without-zh-label
PAN,Panama,3,DF,Jose Cordoba Chambers,Jose Angel CORDOBA CHAMBERS,2001-06-03,Norwich City FC (ENG),,,,,,none,no-wikidata-match
PAN,Panama,5,DF,Edgardo Fariña Wynter,Edgardo Issac FARIÑA WYNTER,2001-10-19,FC Pari Nizhny Novgorod (RUS),,Q117239349,Edgardo Fariña,Panamanian footballer,Edgardo Fariña,none,wikidata-match-without-zh-label
PAN,Panama,6,MF,Cristian Martinez,Cristian Jesus MARTINEZ,1997-02-06,Hapoel Kiryat Shmona FC (ISR),,,,,,none,no-wikidata-match
PAN,Panama,7,MF,Jose Rodriguez Francis,Jose Luis RODRIGUEZ FRANCIS,1998-06-19,FC Juárez (MEX),,,,,,none,no-wikidata-match
PAN,Panama,9,FW,Tomas Rodriguez Mena,Tomas Abdiel RODRIGUEZ MENA,1999-03-09,Deportivo Saprissa (CRC),,,,,,none,no-wikidata-match
PAN,Panama,10,MF,Ismael Diaz De Leon,Ismael DIAZ DE LEON,1997-05-12,Club León (MEX),,,,,,none,no-wikidata-match
PAN,Panama,11,MF,Edgar Barcenas Herrera,Edgar Yoel BARCENAS HERRERA,1993-10-23,Mazatlán FC (MEX),,,,,,none,no-wikidata-match
PAN,Panama,12,GK,Cesar Samudio Murillo,Cesar Jair SAMUDIO MURILLO,1994-02-23,CD Marathón (HON),,,,,,none,no-wikidata-match
PAN,Panama,13,DF,Jiovany Ramos Diaz,Jiovany Javier RAMOS DIAZ,1997-01-26,Puerto Cabello CF (VEN),,Q62006245,Jiovany Ramos,Panamanian footballer,Jiovany Ramos,none,wikidata-match-without-zh-label
PAN,Panama,16,DF,Andres Andrade Cedeño,Andres Alberto ANDRADE CEDEÑO,1998-10-16,LASK Linz (AUT),,,,,,none,no-wikidata-match
PAN,Panama,17,FW,Jose Fajardo Nelson,Jose FAJARDO NELSON,1993-08-18,CD Universidad Católica (ECU),,,,,,none,no-wikidata-match
PAN,Panama,20,MF,Anibal Godoy Lemus,Anibal Casis GODOY LEMUS,1990-02-10,San Diego FC (USA),,,,,,none,no-wikidata-match
PAN,Panama,21,MF,Cesar Yanis Velasco,Cesar Augusto YANIS VELASCO,1996-01-28,CD Cobresal (CHI),,,,,,none,no-wikidata-match
PAN,Panama,22,GK,Orlando Mosquera,Orlando MOSQUERA,1994-12-25,Al Fayha FC (KSA),,Q48839143,Orlando Mosquera,Panamanian association football player,Orlando Mosquera,none,wikidata-match-without-zh-label
PAN,Panama,23,DF,Michael Murillo Bermudez,Michael Amir MURILLO BERMUDEZ,1996-02-11,Beşiktaş JK (TUR),,,,,,none,no-wikidata-match
PAN,Panama,24,FW,Azarías Londoño Gonzalez,Azarías Emmanuel LONDOÑO GONZALEZ,2001-06-21,CD Universidad Católica (ECU),,,,,,none,no-wikidata-match
PAN,Panama,26,DF,Jorge Gutierrez Cornejo,Jorge Abdiel GUTIERREZ CORNEJO,1998-09-01,Deportivo La Guaira (VEN),,,,,,none,no-wikidata-match
PAR,Paraguay,1,GK,Roberto Fernandez Torres,Roberto Junior FERNANDEZ TORRES,1988-03-29,Cerro Porteño (PAR),,,,,,none,no-wikidata-match
PAR,Paraguay,2,DF,Victor Velazquez Ramos,Victor Gustavo VELAZQUEZ RAMOS,1991-04-17,Cerro Porteño (PAR),,,,,,none,no-wikidata-match
PAR,Paraguay,4,DF,Juan Caceres,Juan Jose CACERES,2000-06-01,FC Dynamo Moscow (RUS),,,,,,none,no-wikidata-match
PAR,Paraguay,7,MF,Ramón Sosa Acosta,Ramón SOSA ACOSTA,1999-08-31,SE Palmeiras (BRA),,Q110160871,Ramón Sosa,巴拉圭足球运动员,Ramón Sosa,none,wikidata-match-without-zh-label
PAR,Paraguay,8,MF,Diego Gomez Amarilla,Diego Alexander GOMEZ AMARILLA,2003-03-27,Brighton & Hove Albion FC (ENG),,,,,,none,no-wikidata-match
PAR,Paraguay,11,MF,Mauricio Magalhaes Prado,Mauricio MAGALHAES PRADO,2001-06-22,SE Palmeiras (BRA),,,,,,none,no-wikidata-match
PAR,Paraguay,12,GK,Orlando Gill Noldin,Orlando Daniel GILL NOLDIN,2000-06-11,CA San Lorenzo (ARG),,Q60842077,Orlando Gill,Paraguayan footballer (born 2000),Orlando Gill,none,wikidata-match-without-zh-label
PAR,Paraguay,13,DF,Jose Canale Dominguez,Jose Maria CANALE DOMINGUEZ,1996-07-20,CA Lanús (ARG),,,,,,none,no-wikidata-match
PAR,Paraguay,14,MF,Adrián Cubas,Adrián Andrés CUBAS,1996-05-11,Vancouver Whitecaps FC (CAN),,,,,,none,no-wikidata-match
PAR,Paraguay,15,DF,Gustavo Gómez Portillo,Gustavo Raul GÓMEZ PORTILLO,1993-05-06,SE Palmeiras (BRA),,,,,,none,no-wikidata-match
PAR,Paraguay,16,MF,Damián Bobadilla Benitez,Damián Josue BOBADILLA BENITEZ,2001-07-11,São Paulo FC (BRA),,Q116223348,Damián Bobadilla,巴拉圭男子足球运动员,Damián Bobadilla,none,wikidata-match-without-zh-label
PAR,Paraguay,18,FW,Alex Arce Barrios,Alex Adrian ARCE BARRIOS,1995-06-16,CS Independiente Rivadavia (ARG),,Q118935199,Alex Arce,巴拉圭足球运动员,Alex Arce,none,wikidata-match-without-zh-label
PAR,Paraguay,19,FW,Julio Enciso Espinola,Julio Cesar ENCISO ESPINOLA,2004-01-23,RC Strasbourg (FRA),,,,,,none,no-wikidata-match
PAR,Paraguay,21,FW,Gabriel Avalos Stumpfs,Gabriel AVALOS STUMPFS,1991-07-09,CA Independiente (ARG),,,,,,none,no-wikidata-match
PAR,Paraguay,22,GK,Gastón Olveira Echeverria,Gastón Hernán OLVEIRA ECHEVERRIA,1993-04-21,Club Olimpia (PAR),,Q18020415,Gastón Olveira,乌拉圭男子足球运动员,Gastón Olveira,none,wikidata-match-without-zh-label
PAR,Paraguay,23,MF,Matias Galarza Fonda,Matias GALARZA FONDA,2002-02-11,Atlanta United FC (USA),,,,,,none,no-wikidata-match
PAR,Paraguay,24,MF,Gustavo Caballero Gonzalez,Gustavo Ruben CABALLERO GONZALEZ,2001-09-21,Portsmouth FC (ENG),,Q127179158,Gustavo Caballero,巴拉圭男子足球运动员,Gustavo Caballero,none,wikidata-match-without-zh-label
PAR,Paraguay,25,FW,Isidro Pitta Saldivar,Isidro Miguel PITTA SALDIVAR,1999-08-14,Red Bull Bragantino (BRA),,Q99096411,Isidro Pitta,Paraguayan footballer,Isidro Pitta,none,wikidata-match-without-zh-label
PAR,Paraguay,26,DF,Alexandro Maidana Mendieta,Alexandro MAIDANA MENDIETA,2005-07-26,CA Talleres (ARG),,Q136375048,Alexandro Maidana,Paraguayan footballer,Alexandro Maidana,none,wikidata-match-without-zh-label
POR,Portugal,2,DF,Nélson Cabral Semedo,Nélson CABRAL SEMEDO,1993-11-16,Fenerbahçe SK (TUR),,,,,,none,no-wikidata-match
POR,Portugal,4,DF,Tomás Lemos Araújo,Tomás LEMOS ARAÚJO,2002-05-16,SL Benca (POR),,,,,,none,no-wikidata-match
POR,Portugal,5,DF,José Dalot Teixeira,José Diogo DALOT TEIXEIRA,1999-03-18,Manchester United FC (ENG),,,,,,none,no-wikidata-match
POR,Portugal,8,MF,Bruno Borges Fernandes,Bruno Miguel BORGES FERNANDES,1994-09-08,Manchester United FC (ENG),,,,,,none,no-wikidata-match
POR,Portugal,9,FW,Gonçalo Matias Ramos,Gonçalo MATIAS RAMOS,2001-06-20,Paris Saint-Germain (FRA),,,,,,none,no-wikidata-match
POR,Portugal,10,MF,Bernardo Mota Veiga De Carvalho E Silva,Bernardo MOTA VEIGA DE CARVALHO E SILVA,1994-08-10,Manchester City FC (ENG),,,,,,none,no-wikidata-match
POR,Portugal,14,DF,Gonçalo Bernardo Inácio,Gonçalo BERNARDO INÁCIO,2001-08-25,Sporting CP (POR),,,,,,none,no-wikidata-match
POR,Portugal,17,FW,Rafael Da Conceição Leão,Rafael Alexandre DA CONCEIÇÃO LEÃO,1999-06-10,AC Milan (ITA),,,,,,none,no-wikidata-match
POR,Portugal,19,FW,Gonçalo Ganchinho Guedes,Gonçalo Manuel GANCHINHO GUEDES,1996-11-29,Real Sociedad (ESP),,,,,,none,no-wikidata-match
POR,Portugal,21,MF,Rúben Da Silva Neves,Rúben Diogo DA SILVA NEVES,1997-03-13,Al Hilal SC (KSA),,,,,,none,no-wikidata-match
POR,Portugal,24,DF,Samuel De Almeida Costa,Samuel DE ALMEIDA COSTA,2000-11-27,RCD Mallorca (ESP),,,,,,none,no-wikidata-match
POR,Portugal,25,DF,Nuno Tavares Mendes,Nuno Alexandre TAVARES MENDES,2002-06-19,Paris Saint-Germain (FRA),,,,,,none,no-wikidata-match
POR,Portugal,26,FW,Francisco Fernandes Da Conceição,Francisco FERNANDES DA CONCEIÇÃO,2002-12-14,Juventus FC (ITA),,,,,,none,no-wikidata-match
QAT,Qatar,1,GK,Mahmoud Abunada,Mahmoud Ibrahim M ABUNADA,2000-02-05,Al Rayyan SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,2,DF,Pedro Correia,Pedro Miguel D D CORREIA,1990-08-06,Al Sadd SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,4,DF,Gueye Seydinaissalaye,Gueye SEYDINAISSALAYE,1997-12-22,Al Arabi SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,5,DF,Jassem Abdulsallam,Jassem Gaber E ABDULSALLAM,2002-02-20,Al Rayyan SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,6,MF,Abdelaziz Mohamed,Abdelaziz Hatim A MOHAMED,1990-01-01,Al Rayyan SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,8,FW,Edmilson Dasilva,Edmilson Junior P DASILVA,1994-08-19,Al Duhail SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,10,FW,Hasan Alhaydos,Hasan Khalid H ALHAYDOS,1990-12-11,Al Sadd SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,13,DF,Ayoub Aloui,Ayoub Mohamed ALOUI,2005-03-11,Al Gharafa SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,15,FW,Yusuf Yusuf,Yusuf Abdurisag YUSUF,1999-08-06,Al Wakrah SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,17,MF,Ahmed Alganehi,Ahmed Mohamed H K ALGANEHI,2000-09-22,Al Gharafa SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,19,FW,Almoez Abdulla,Almoez Ali Zainelabdeen M ABDULLA,1996-08-19,Al Duhail SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,20,MF,Ahmed Abdoulla,Ahmed Fathy M ABDOULLA,1993-01-25,Al Arabi SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,21,GK,Salah Hassan,Salah Zakaria M M HASSAN,1999-04-24,Al Duhail SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,22,GK,Meshaal Barsham,Meshaal Aissa M BARSHAM,1998-02-14,Al Sadd SC (QAT),,,,,,none,no-wikidata-match
QAT,Qatar,24,FW,Tahsin Jamshid,Tahsin Mohammad JAMSHID,2006-06-16,Al Duhail SC (QAT),,Q126258395,Tahsin Jamshid,Qatari footballer,Tahsin Jamshid,none,wikidata-match-without-zh-label
